customer_id,restaurant_id,assigned_driver_id,order_time,batch_id,delivery_distance_km,delivery_time_minutes
1551,5,41,2024-01-09 05:08:00,2257,11.24,66
39,2,46,2024-01-09 07:18:00,2283,12.99,16
2229,2,2,2024-01-09 08:03:00,2292,6.41,75
1243,2,13,2024-01-09 15:39:00,2383,4.66,70
13,2,42,2024-01-09 23:50:00,2481,1.28,57
1413,5,29,2024-01-10 00:59:00,2495,7.88,70
741,5,19,2024-01-10 01:25:00,2500,4.89,65
822,0,31,2024-01-10 02:53:00,2518,5.84,38
495,4,34,2024-01-10 06:05:00,2556,7.18,63
2600,0,11,2024-01-10 06:05:00,2556,2.3,49
1835,3,8,2024-01-10 13:08:00,2641,9.37,30
98,5,27,2024-01-10 16:10:00,2677,6.57,46
2404,1,43,2024-01-10 21:44:00,2744,3.05,32
1385,4,27,2024-01-10 23:18:00,2763,7.33,44
917,1,27,2024-01-11 02:53:00,2806,2.03,17
2208,2,38,2024-01-11 11:53:00,2914,2.58,82
2396,2,13,2024-01-11 13:41:00,2935,11.65,84
343,3,22,2024-01-11 20:50:00,3021,1.57,48
133,2,7,2024-01-11 21:55:00,3034,13.67,83
812,5,0,2024-01-12 01:51:00,3081,9.89,52
1882,5,36,2024-01-12 02:57:00,3094,13.67,43
399,5,31,2024-01-12 03:07:00,3096,9.85,16
962,5,6,2024-01-12 05:30:00,3125,5.03,76
2122,3,3,2024-01-12 05:35:00,3126,10.66,46
156,2,43,2024-01-12 05:41:00,3127,13.95,32
2228,2,19,2024-01-12 07:43:00,3152,11.09,18
2497,2,31,2024-01-12 10:03:00,3180,0.69,36
513,5,31,2024-01-12 15:42:00,3247,13.32,30
2062,3,42,2024-01-12 15:48:00,3249,12.88,90
1266,3,27,2024-01-13 02:51:00,3381,5.69,39
911,1,31,2024-01-13 05:55:00,3418,13.37,37
1871,4,34,2024-01-13 09:29:00,3461,5.44,75
466,1,46,2024-01-13 13:02:00,3503,10.29,47
1789,4,37,2024-01-13 13:52:00,3513,12.57,24
201,0,3,2024-01-13 15:48:00,3537,12.54,68
1352,4,40,2024-01-13 17:19:00,3555,13.63,43
1017,3,5,2024-01-13 19:29:00,3581,5.23,84
969,2,32,2024-01-13 23:41:00,3631,13.6,52
1012,1,1,2024-01-14 04:06:00,3684,5.91,48
40,1,2,2024-01-14 07:27:00,3724,11.56,60
2356,3,17,2024-01-14 07:45:00,3728,0.62,38
439,4,24,2024-01-14 15:19:00,3819,10.5,72
1779,1,11,2024-01-14 20:00:00,3875,8.88,69
2368,4,30,2024-01-14 21:54:00,3898,8.47,41
2434,4,2,2024-01-15 04:59:00,3983,6.26,78
2316,1,42,2024-01-15 05:33:00,3990,3.78,83
1682,2,35,2024-01-15 06:45:00,4004,9.39,21
393,1,27,2024-01-15 17:28:00,4133,8.35,18
2374,0,15,2024-01-15 17:49:00,4137,7.58,78
1856,0,28,2024-01-15 20:40:00,4171,12.17,85
1386,2,25,2024-01-16 07:51:00,4305,5.23,58
604,4,7,2024-01-16 12:34:00,4362,12.08,57
1979,4,42,2024-01-16 13:12:00,4369,9.27,64
527,1,29,2024-01-16 14:42:00,4387,13.3,28
2572,1,25,2024-01-16 15:42:00,4399,0.97,18
1951,2,9,2024-01-16 15:57:00,4402,13.14,29
744,0,2,2024-01-16 23:11:00,4489,1.15,57
276,0,32,2024-01-17 07:12:00,4585,4.49,64
1527,0,34,2024-01-17 09:29:00,4613,8.89,84
1827,4,19,2024-01-17 12:54:00,4654,12.45,30
862,3,22,2024-01-17 14:40:00,4675,7.7,89
2302,3,11,2024-01-17 15:47:00,4688,5.48,44
2548,5,22,2024-01-18 05:18:00,4851,2.53,22
2003,0,41,2024-01-18 08:33:00,4890,12.98,88
2145,0,38,2024-01-18 13:22:00,4947,5.38,21
2136,4,40,2024-01-18 20:29:00,5033,7.39,44
1409,0,40,2024-01-18 21:50:00,5049,13.1,25
1688,3,23,2024-01-19 00:15:00,5078,9.3,52
1190,5,25,2024-01-19 02:05:00,5100,9.54,48
2241,5,24,2024-01-19 02:36:00,5106,13.27,34
896,5,40,2024-01-19 03:04:00,5112,0.76,21
1199,3,0,2024-01-19 12:52:00,5229,5.46,76
1126,2,49,2024-01-19 14:33:00,5250,8.41,41
2118,2,20,2024-01-19 19:07:00,5304,1.73,48
964,4,2,2024-01-19 20:12:00,5317,0.81,33
1970,0,5,2024-01-19 21:23:00,5332,14.24,40
1060,3,8,2024-01-20 15:01:00,5543,2.51,71
975,2,44,2024-01-20 17:08:00,5569,3.8,20
2388,4,49,2024-01-20 17:33:00,5574,10.81,80
2158,5,44,2024-01-21 01:47:00,5672,7.89,16
2040,2,39,2024-01-21 15:43:00,5840,14.9,33
1204,2,22,2024-01-21 16:32:00,5849,9.93,62
1647,4,41,2024-01-21 18:11:00,5869,13.41,35
1612,3,26,2024-01-21 19:05:00,5880,5.09,35
2537,5,5,2024-01-21 20:11:00,5893,7.13,37
448,2,36,2024-01-21 20:48:00,5901,11.59,21
2446,5,40,2024-01-21 22:26:00,5920,3.3,87
2290,4,25,2024-01-22 00:14:00,5942,3.38,83
1094,1,2,2024-01-22 04:17:00,5990,13.64,89
928,0,20,2024-01-22 05:20:00,6003,7.53,25
1162,1,7,2024-01-22 07:39:00,6031,0.53,53
703,0,19,2024-01-22 12:10:00,6085,1.72,87
644,1,18,2024-01-22 12:28:00,6089,2.45,67
502,3,10,2024-01-22 14:40:00,6115,10.19,67
2260,0,46,2024-01-22 16:03:00,6132,3.05,40
340,3,23,2024-01-22 20:24:00,6184,1.89,59
2492,2,15,2024-01-22 21:03:00,6192,8.4,75
216,4,7,2024-01-22 23:01:00,6215,1.86,71
2558,5,6,2024-01-23 07:37:00,6318,11.52,38
952,5,47,2024-01-23 16:48:00,6429,8.35,50
889,5,41,2024-01-23 21:36:00,6486,6.33,54
1003,5,10,2024-01-23 22:49:00,6501,13.24,22
2462,2,24,2024-01-24 02:22:00,6543,10.1,39
2593,1,7,2024-01-24 06:14:00,6590,10.34,73
1734,3,42,2024-01-24 07:18:00,6603,5.08,73
1170,3,15,2024-01-24 08:29:00,6617,9.97,29
1681,2,17,2024-01-24 14:58:00,6695,6.86,48
321,0,5,2024-01-24 14:59:00,6695,12.26,17
229,4,13,2024-01-24 17:30:00,6725,10.31,88
1412,3,49,2024-01-24 19:31:00,6749,4.64,27
209,0,22,2024-01-24 20:54:00,6766,11.74,38
1960,3,46,2024-01-25 03:37:00,6846,0.73,48
1195,3,21,2024-01-25 04:23:00,6856,14.34,66
1029,4,34,2024-01-25 04:30:00,6857,2.52,28
1941,3,46,2024-01-25 06:28:00,6881,6.85,70
114,1,21,2024-01-25 11:55:00,6946,6.56,38
534,4,23,2024-01-25 11:58:00,6947,11.3,53
1615,0,26,2024-01-25 13:17:00,6962,2.23,16
432,5,33,2024-01-25 13:44:00,6968,7.55,42
589,1,29,2024-01-26 09:03:00,7200,6.81,63
2384,0,47,2024-01-26 16:08:00,7285,2.17,25
2276,0,39,2024-01-26 21:41:00,7351,10.8,56
588,3,8,2024-01-26 22:17:00,7358,10.15,52
2269,5,29,2024-01-27 01:41:00,7399,10.63,30
1186,5,16,2024-01-27 05:21:00,7443,14.68,55
170,5,20,2024-01-27 16:44:00,7580,11.88,66
948,4,32,2024-01-27 16:48:00,7581,12.01,75
1505,4,19,2024-01-27 18:28:00,7601,3.89,55
1521,1,17,2024-01-28 02:42:00,7699,4.96,73
1071,0,19,2024-01-28 04:08:00,7717,12.94,38
933,3,34,2024-01-28 05:00:00,7727,12.43,31
886,2,42,2024-01-28 05:11:00,7729,12.55,35
1716,2,15,2024-01-28 05:28:00,7733,12.7,67
775,1,7,2024-01-28 07:26:00,7756,12.49,63
1597,1,38,2024-01-28 19:28:00,7901,1.53,57
807,2,25,2024-01-28 23:52:00,7953,4.83,89
1145,3,36,2024-01-29 02:10:00,7981,7.16,35
2470,4,7,2024-01-29 09:15:00,8066,8.39,32
1651,0,39,2024-01-29 12:29:00,8105,10.08,24
2559,2,44,2024-01-29 17:12:00,8161,5.73,32
199,5,27,2024-01-29 17:29:00,8165,6.97,84
1544,0,34,2024-01-29 18:15:00,8174,4.7,27
1129,1,25,2024-01-29 23:28:00,8237,11.6,26
53,2,47,2024-01-29 23:49:00,8241,8.32,26
620,1,17,2024-01-30 03:43:00,8288,10.41,31
1293,1,45,2024-01-30 04:10:00,8293,9.81,78
794,4,33,2024-01-30 10:08:00,8365,1.85,48
629,4,39,2024-01-30 15:53:00,8434,11.71,34
2140,1,32,2024-01-30 17:43:00,8456,8.47,40
2064,4,8,2024-01-30 18:30:00,8465,9.9,57
1696,1,15,2024-01-30 21:28:00,8501,13.66,52
835,1,41,2024-01-30 23:26:00,8524,9.7,53
1555,1,38,2024-01-31 08:31:00,8633,5.63,49
1765,0,35,2024-01-31 15:57:00,8722,0.9,29
1728,3,34,2024-02-01 05:50:00,8889,14.0,25
442,5,36,2024-02-01 16:07:00,9012,0.91,36
2328,0,0,2024-02-01 20:04:00,9060,10.71,77
179,1,32,2024-02-01 20:11:00,9061,7.08,66
1823,3,37,2024-02-02 00:54:00,9118,5.18,42
1430,4,2,2024-02-02 01:17:00,9122,5.25,60
869,3,31,2024-02-02 02:43:00,9140,13.81,58
2436,5,44,2024-02-02 07:44:00,9200,5.47,47
785,1,4,2024-02-02 22:22:00,9375,13.73,80
945,5,26,2024-02-02 22:45:00,9380,10.05,53
2107,0,3,2024-02-03 00:31:00,9401,9.98,30
2105,0,21,2024-02-03 10:57:00,9526,10.7,40
1968,5,48,2024-02-03 17:12:00,9601,14.56,61
649,0,9,2024-02-03 21:22:00,9651,11.64,15
1578,3,36,2024-02-04 07:35:00,9774,2.83,71
1906,1,27,2024-02-04 09:40:00,9799,10.18,74
1462,5,48,2024-02-04 12:50:00,9837,11.93,82
1954,0,25,2024-02-04 20:37:00,9930,13.65,57
2592,0,5,2024-02-04 23:47:00,9968,2.45,19
2483,2,48,2024-02-05 06:53:00,10054,14.11,20
2201,4,42,2024-02-05 11:15:00,10106,4.17,74
1593,2,44,2024-02-05 12:46:00,10124,2.06,20
1158,4,36,2024-02-05 20:14:00,10214,9.37,72
1625,5,19,2024-02-05 20:36:00,10218,1.27,87
1324,0,49,2024-02-05 23:05:00,10248,6.46,33
1304,1,31,2024-02-06 00:02:00,10259,11.91,75
1896,4,1,2024-02-06 00:27:00,10264,9.54,32
2184,3,35,2024-02-06 03:57:00,10306,9.98,49
705,3,39,2024-02-06 03:59:00,10307,1.09,83
879,2,14,2024-02-06 06:00:00,10331,13.57,18
2245,3,6,2024-02-06 06:01:00,10331,1.06,31
185,5,37,2024-02-06 07:53:00,10354,14.77,54
323,3,8,2024-02-06 12:58:00,10415,6.88,78
327,4,2,2024-02-07 00:06:00,10548,3.62,72
2450,2,43,2024-02-07 02:57:00,10582,8.15,49
1319,1,26,2024-02-07 08:49:00,10653,11.35,58
634,1,27,2024-02-07 14:22:00,10719,0.74,62
1389,2,30,2024-02-07 14:23:00,10720,1.19,67
723,4,8,2024-02-07 20:08:00,10789,2.92,78
54,1,37,2024-02-07 22:05:00,10812,4.93,86
258,3,48,2024-02-07 23:36:00,10830,3.24,31
526,1,2,2024-02-07 23:40:00,10831,8.28,69
1719,3,20,2024-02-08 08:04:00,10932,4.82,52
2190,0,46,2024-02-08 09:17:00,10946,5.9,74
857,2,38,2024-02-08 09:55:00,10954,9.9,34
2211,4,24,2024-02-08 19:04:00,11064,2.06,40
1261,2,38,2024-02-09 00:14:00,11126,2.57,18
1106,1,10,2024-02-09 00:42:00,11131,9.95,53
152,5,10,2024-02-09 04:37:00,11178,10.92,46
880,4,33,2024-02-09 11:40:00,11263,4.8,61
2153,0,2,2024-02-09 20:12:00,11365,2.48,85
2382,0,24,2024-02-10 03:46:00,11456,12.28,35
1400,0,2,2024-02-10 03:56:00,11458,7.19,84
721,4,41,2024-02-10 03:57:00,11458,2.07,24
2075,5,7,2024-02-10 04:08:00,11461,8.32,15
1414,5,20,2024-02-10 06:04:00,11484,2.85,59
1255,0,34,2024-02-10 06:30:00,11489,2.34,59
2110,2,47,2024-02-10 08:54:00,11518,6.41,21
1325,4,27,2024-02-10 19:39:00,11647,6.16,70
329,0,23,2024-02-10 20:40:00,11659,3.69,20
2486,2,44,2024-02-10 22:39:00,11683,1.4,15
1959,5,31,2024-02-11 02:46:00,11732,2.51,58
1002,2,11,2024-02-11 13:42:00,11863,0.75,73
159,0,26,2024-02-11 15:37:00,11886,12.76,51
1613,0,0,2024-02-11 21:38:00,11959,4.4,52
1519,1,14,2024-02-11 22:42:00,11971,12.54,53
1564,5,1,2024-02-12 03:19:00,12027,8.99,55
1424,5,28,2024-02-12 03:29:00,12029,11.32,22
1971,4,35,2024-02-12 06:22:00,12063,3.15,30
774,5,26,2024-02-12 06:25:00,12064,6.72,27
1297,2,46,2024-02-12 09:42:00,12103,11.84,43
364,2,17,2024-02-12 13:12:00,12145,8.57,70
1757,2,36,2024-02-12 20:17:00,12230,8.19,38
2419,1,10,2024-02-12 22:19:00,12255,8.94,85
745,4,4,2024-02-12 23:17:00,12266,2.62,39
800,1,15,2024-02-13 05:31:00,12341,14.54,40
436,3,30,2024-02-13 05:37:00,12342,3.99,53
2056,1,26,2024-02-13 08:12:00,12373,8.4,56
2331,5,22,2024-02-13 08:48:00,12381,4.22,28
592,4,19,2024-02-13 09:17:00,12386,7.21,25
1479,3,2,2024-02-13 09:39:00,12391,2.06,55
1147,2,47,2024-02-13 10:00:00,12395,2.4,34
1298,5,41,2024-02-13 12:41:00,12427,7.75,20
1097,2,21,2024-02-13 14:08:00,12445,5.77,22
1090,3,27,2024-02-13 22:12:00,12541,2.25,83
1963,5,46,2024-02-13 22:25:00,12544,10.9,30
929,0,4,2024-02-14 03:40:00,12607,11.56,21
2119,5,40,2024-02-14 04:20:00,12615,3.98,60
426,0,37,2024-02-14 09:54:00,12682,12.87,60
679,0,17,2024-02-14 11:27:00,12700,14.99,47
1344,1,26,2024-02-14 16:19:00,12759,10.74,65
1556,4,29,2024-02-14 16:36:00,12762,3.16,57
1173,3,26,2024-02-15 01:19:00,12867,1.05,80
2332,3,13,2024-02-15 02:21:00,12879,7.89,77
307,1,44,2024-02-15 06:01:00,12923,6.34,55
2173,2,20,2024-02-15 08:12:00,12949,4.63,18
1260,4,1,2024-02-15 10:25:00,12976,8.81,28
658,1,3,2024-02-15 13:06:00,13008,11.06,30
2286,0,42,2024-02-15 13:27:00,13012,4.35,23
1306,4,2,2024-02-15 14:38:00,13027,0.92,86
2070,2,28,2024-02-15 18:01:00,13067,2.87,70
290,0,45,2024-02-15 19:40:00,13087,11.04,38
1837,5,7,2024-02-15 20:33:00,13098,7.21,45
511,4,17,2024-02-15 22:35:00,13122,11.27,86
2246,5,44,2024-02-16 01:01:00,13151,12.86,60
538,2,17,2024-02-16 04:57:00,13198,1.15,69
2407,0,34,2024-02-16 05:34:00,13206,6.66,81
1116,4,49,2024-02-16 06:47:00,13220,9.21,38
1715,2,46,2024-02-16 07:41:00,13231,13.46,78
429,0,27,2024-02-16 09:09:00,13249,3.42,69
437,2,10,2024-02-16 09:41:00,13255,13.64,51
978,4,45,2024-02-16 12:18:00,13287,3.54,89
1064,0,41,2024-02-16 19:39:00,13375,4.98,67
671,1,31,2024-02-16 20:18:00,13383,3.12,86
1885,3,22,2024-02-16 22:49:00,13413,12.41,40
1663,0,48,2024-02-17 09:13:00,13538,11.45,44
1488,3,41,2024-02-17 16:21:00,13623,1.8,43
2313,4,35,2024-02-17 20:54:00,13678,14.77,90
707,5,39,2024-02-18 06:02:00,13787,13.35,85
761,5,4,2024-02-18 09:48:00,13833,7.87,85
729,4,3,2024-02-18 12:35:00,13866,1.82,68
976,2,8,2024-02-18 19:09:00,13945,10.34,79
686,0,32,2024-02-19 06:15:00,14078,9.85,56
211,1,43,2024-02-19 10:21:00,14127,11.3,80
2511,2,48,2024-02-19 12:56:00,14158,2.19,36
1292,1,6,2024-02-19 15:38:00,14191,6.83,48
1608,3,17,2024-02-19 19:45:00,14240,3.99,47
2207,5,47,2024-02-19 19:54:00,14242,11.99,50
895,0,23,2024-02-19 22:55:00,14278,12.14,19
903,4,11,2024-02-20 02:30:00,14321,14.01,19
221,5,31,2024-02-20 02:47:00,14324,4.66,43
791,0,13,2024-02-20 05:19:00,14355,4.72,43
874,5,17,2024-02-20 09:32:00,14405,14.1,62
1284,1,39,2024-02-20 10:44:00,14420,11.18,90
2321,1,3,2024-02-20 14:35:00,14466,7.26,31
2157,3,23,2024-02-20 19:40:00,14527,3.89,46
2235,4,2,2024-02-20 21:32:00,14549,7.62,41
2337,3,18,2024-02-20 22:14:00,14558,13.91,67
2400,5,25,2024-02-20 22:53:00,14566,6.37,52
1791,0,23,2024-02-21 05:04:00,14640,3.8,78
348,3,12,2024-02-21 06:12:00,14653,8.94,81
2387,1,46,2024-02-21 07:40:00,14671,10.72,49
1231,0,15,2024-02-21 09:47:00,14696,3.34,45
764,0,20,2024-02-21 10:30:00,14705,2.55,20
1227,5,18,2024-02-21 11:26:00,14716,11.94,83
308,5,13,2024-02-21 12:33:00,14730,13.61,57
397,0,1,2024-02-21 18:13:00,14798,4.04,60
2169,2,49,2024-02-21 23:42:00,14863,11.23,58
398,0,26,2024-02-22 01:03:00,14880,10.77,53
1817,4,41,2024-02-22 03:07:00,14904,0.74,81
42,5,38,2024-02-22 06:23:00,14944,4.34,69
2544,4,27,2024-02-22 06:31:00,14945,5.16,52
542,2,37,2024-02-22 06:51:00,14949,8.66,41
1122,4,46,2024-02-22 09:39:00,14983,14.38,42
319,5,43,2024-02-22 10:11:00,14989,7.38,88
735,5,19,2024-02-22 14:00:00,15035,2.86,16
1649,0,29,2024-02-22 18:56:00,15094,10.71,58
1687,5,41,2024-02-22 20:06:00,15108,3.59,83
230,1,33,2024-02-23 07:45:00,15248,14.07,86
1137,2,42,2024-02-23 15:07:00,15336,12.39,83
2033,4,0,2024-02-23 16:49:00,15357,13.66,66
1130,0,9,2024-02-24 03:27:00,15484,10.59,60
571,1,14,2024-02-24 10:41:00,15571,9.58,59
1202,2,7,2024-02-24 15:27:00,15628,7.97,27
2035,0,23,2024-02-24 17:30:00,15653,14.4,83
1234,5,6,2024-02-25 03:02:00,15767,13.22,56
872,3,15,2024-02-25 09:11:00,15841,4.03,54
138,3,6,2024-02-25 09:14:00,15842,8.46,25
1072,3,28,2024-02-25 11:13:00,15866,10.39,22
1822,2,2,2024-02-25 19:55:00,15970,5.0,44
846,5,2,2024-02-25 20:45:00,15980,12.26,43
2014,1,47,2024-02-26 01:26:00,16036,3.38,28
2071,0,14,2024-02-26 07:05:00,16104,14.51,69
1673,0,34,2024-02-26 08:01:00,16115,6.06,81
1351,3,28,2024-02-26 08:24:00,16120,9.19,63
748,4,22,2024-02-26 09:09:00,16129,5.56,59
2171,0,5,2024-02-26 11:38:00,16159,7.42,60
2351,5,2,2024-02-26 17:17:00,16226,13.19,80
2076,0,35,2024-02-26 17:23:00,16228,3.2,80
883,1,45,2024-02-26 21:19:00,16275,10.82,21
1220,3,32,2024-02-27 00:14:00,16310,13.44,88
1434,4,46,2024-02-27 08:21:00,16407,8.01,33
1056,0,33,2024-02-27 11:18:00,16443,7.86,85
1550,4,41,2024-02-27 13:48:00,16473,9.02,71
400,2,11,2024-02-27 17:30:00,16517,4.15,17
363,3,3,2024-02-27 18:47:00,16532,3.24,23
2540,0,18,2024-02-27 21:57:00,16570,10.78,67
738,3,10,2024-02-27 21:58:00,16571,8.97,22
2541,2,4,2024-02-27 23:35:00,16590,4.26,85
1876,0,5,2024-02-28 05:03:00,16656,11.3,62
480,4,6,2024-02-28 13:25:00,16756,14.09,22
2292,5,1,2024-02-28 16:34:00,16794,0.5,31
3,5,18,2024-02-28 18:29:00,16817,3.61,70
361,3,3,2024-02-28 23:35:00,16878,2.22,79
2473,1,29,2024-02-29 00:37:00,16890,5.25,34
303,1,40,2024-02-29 01:55:00,16906,14.39,36
882,1,4,2024-02-29 03:06:00,16920,5.28,37
1038,5,38,2024-02-29 03:11:00,16921,9.19,40
2422,4,31,2024-02-29 07:43:00,16976,2.96,67
1083,4,29,2024-02-29 13:19:00,17043,10.32,81
572,4,11,2024-02-29 15:54:00,17074,4.75,68
2247,5,31,2024-02-29 22:52:00,17157,4.09,42
19,4,30,2024-03-01 01:22:00,17187,4.4,63
611,2,44,2024-03-01 09:06:00,17280,1.95,39
1081,3,34,2024-03-01 10:38:00,17299,8.72,78
1890,1,9,2024-03-01 11:53:00,17314,14.24,26
1894,3,7,2024-03-01 17:42:00,17383,14.3,32
2144,5,47,2024-03-01 19:17:00,17402,5.85,54
993,3,37,2024-03-01 20:42:00,17419,1.64,71
559,3,30,2024-03-01 21:14:00,17426,7.61,90
624,0,19,2024-03-01 22:24:00,17440,7.0,41
628,1,41,2024-03-01 23:51:00,17457,14.5,36
207,5,29,2024-03-02 04:05:00,17508,1.92,22
49,3,2,2024-03-02 08:36:00,17562,6.71,60
1609,5,40,2024-03-02 12:54:00,17614,6.47,22
2526,1,8,2024-03-02 14:57:00,17638,6.74,29
1079,0,20,2024-03-03 04:06:00,17796,8.66,26
2488,5,0,2024-03-03 07:13:00,17834,2.86,15
1477,3,28,2024-03-03 10:51:00,17877,3.95,57
1163,4,49,2024-03-03 14:59:00,17927,1.9,36
935,0,23,2024-03-03 15:06:00,17928,4.78,84
1482,1,43,2024-03-04 08:16:00,18134,8.63,24
2196,3,27,2024-03-04 08:18:00,18135,11.94,68
2285,0,20,2024-03-04 10:02:00,18155,6.14,33
157,1,39,2024-03-04 13:45:00,18200,8.4,57
646,0,45,2024-03-04 23:45:00,18320,10.58,17
2524,4,17,2024-03-05 03:44:00,18368,6.6,85
373,5,15,2024-03-05 08:04:00,18420,1.43,51
787,0,15,2024-03-05 10:33:00,18450,6.66,36
2445,1,12,2024-03-05 13:30:00,18485,12.54,75
2111,0,1,2024-03-05 15:50:00,18513,8.65,61
1761,3,7,2024-03-05 17:11:00,18529,5.04,63
506,0,43,2024-03-05 20:44:00,18572,14.47,62
694,4,45,2024-03-06 00:30:00,18617,14.66,66
1800,1,8,2024-03-06 01:00:00,18623,2.02,81
2323,3,27,2024-03-06 06:31:00,18689,1.31,22
1374,1,35,2024-03-06 13:34:00,18774,2.76,36
1580,4,33,2024-03-06 14:44:00,18788,6.01,83
1500,4,48,2024-03-06 19:14:00,18842,13.98,61
1350,0,39,2024-03-06 21:55:00,18874,6.19,52
1449,5,17,2024-03-07 02:41:00,18931,12.09,66
1258,0,37,2024-03-07 03:51:00,18945,7.81,28
1239,2,43,2024-03-07 05:59:00,18971,6.4,63
1000,5,21,2024-03-07 14:30:00,19073,9.53,51
1543,0,6,2024-03-07 22:44:00,19172,9.98,82
1318,2,41,2024-03-08 02:45:00,19220,1.55,22
2390,1,0,2024-03-08 12:23:00,19336,12.89,17
582,5,14,2024-03-08 12:56:00,19342,7.38,64
1047,0,15,2024-03-08 13:19:00,19347,8.38,67
1986,2,18,2024-03-08 14:15:00,19358,7.53,86
461,3,8,2024-03-08 14:33:00,19362,8.48,48
598,2,30,2024-03-08 15:13:00,19370,2.15,27
1515,4,9,2024-03-08 17:21:00,19395,2.07,57
62,3,42,2024-03-08 20:56:00,19438,11.83,40
1028,0,25,2024-03-09 00:47:00,19484,13.55,71
2347,4,37,2024-03-09 01:54:00,19498,3.24,57
1633,3,23,2024-03-09 02:35:00,19506,4.56,28
301,5,44,2024-03-09 08:06:00,19572,7.05,76
577,2,2,2024-03-09 20:05:00,19716,1.68,71
1290,0,36,2024-03-10 01:16:00,19778,3.83,50
2565,0,37,2024-03-10 02:31:00,19793,12.53,32
1579,5,20,2024-03-10 03:52:00,19809,10.46,19
2053,5,2,2024-03-10 05:32:00,19829,4.64,80
2254,4,8,2024-03-10 12:36:00,19914,13.56,36
1909,5,20,2024-03-10 18:58:00,19991,14.57,15
1982,4,42,2024-03-10 21:10:00,20017,7.75,21
1483,0,31,2024-03-10 22:48:00,20037,2.12,61
2133,4,1,2024-03-10 22:55:00,20038,8.2,49
2039,1,21,2024-03-10 23:11:00,20041,11.76,31
58,4,32,2024-03-11 01:25:00,20068,0.56,38
1219,2,41,2024-03-11 01:31:00,20069,6.33,18
606,2,26,2024-03-11 09:28:00,20165,9.89,89
1396,4,47,2024-03-11 11:26:00,20188,7.91,80
1011,2,8,2024-03-11 14:52:00,20229,0.85,86
1942,0,23,2024-03-11 15:09:00,20233,13.44,28
247,4,22,2024-03-11 21:14:00,20306,8.77,49
1484,3,33,2024-03-12 00:20:00,20343,8.94,15
941,2,36,2024-03-12 01:21:00,20355,3.57,21
1886,1,17,2024-03-12 11:17:00,20474,4.65,33
925,0,30,2024-03-12 13:26:00,20500,9.95,80
1987,4,28,2024-03-12 14:16:00,20510,12.76,85
1200,2,6,2024-03-12 16:40:00,20539,5.61,33
1365,5,38,2024-03-12 18:06:00,20556,1.48,60
715,1,30,2024-03-12 20:28:00,20585,13.88,21
